study,symbol,date,strategy,maker_fee_rate,latency_ms,horizon_seconds,sample_count,mean_markout
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,-5e-05,10,1,106,-0.027488592452832753
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,-5e-05,10,5,106,-0.02610064528301736
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,-5e-05,10,30,106,-0.03699180943396176
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,-5e-05,10,60,106,-0.023714356603773332
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0002,50,1,149,-0.032534377852350624
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0002,50,5,149,-0.03267321476509925
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0002,50,30,149,-0.04404793154362366
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0002,50,60,149,-0.035532520805368194
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0001,50,1,149,-0.032534377852350624
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0001,50,5,149,-0.03267321476509925
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0001,50,30,149,-0.04404793154362366
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0001,50,60,149,-0.035532520805368194
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0,50,1,149,-0.032534377852350624
crypto,BTCUSDT,2025-07-02,as_gamma_0.001,0.0,50,5,149,-0.03267321476509925
